Category,Sector,Company Name (English),Company Name (Arabic),Primary Location,Est. Scale,Specific Pain Point
"Category 8 — Construction, EPC & Developers",State GC,The Arab Contractors (Osman Ahmed Osman),المقاولون العرب (عثمان أحمد عثمان),"Nationwide, incl. Suez & Alexandria industrial projects",Large,Egypt's largest contractor subcontracts steel fabrication and specialist MEP on industrial jobs and buys materials at scale — approved-subcontractor registration feeds continuous package flow.
"Category 8 — Construction, EPC & Developers",Petroleum EPC,ENPPI,إنبي,Cairo HQ; projects across Suez/Alexandria refineries,Large,"EPC house for EGPC projects — maintains formal subcontractor/vendor lists for fabrication, piping and civil packages on exactly the refineries in Categories 1–2."
"Category 8 — Construction, EPC & Developers",Contractor,Samcrete Engineers & Contractors,سامكريت,Giza / 6th of October,Large,Industrial and infrastructure portfolio; subcontracts steel and MEP packages and procures building materials on tight programs.
"Category 8 — Construction, EPC & Developers",International GC,China State Construction Egypt (CSCEC),الصينية الحكومية للإنشاءات (مصر),New Administrative Capital / CBD towers\*,Large,"Massive materials procurement (steel, cable, valves) and local-subcontractor demand for MEP/steel packages — registration with the procurement office covers multiple towers."
"Category 8 — Construction, EPC & Developers",Contractor,Gama Construction,جاما للإنشاءات,Cairo; industrial & power projects,Large,Power and industrial projects with heavy mechanical scopes — uses pre-qualified fabrication and piping subcontractors.
"Category 8 — Construction, EPC & Developers",Contractor,Concord for Engineering & Contracting,كونكورد للهندسة والمقاولات,Cairo; commercial & industrial builds,Large,Large building portfolio with recurring steel-structure and MEP subcontracting plus bulk materials buying.
"Category 8 — Construction, EPC & Developers",State Contractor,Mokhtar Ibrahim Contracting,شركة مختار إبراهيم للمقاولات,Cairo; state industrial/utility projects,Large,Public-sector industrial and utilities projects — partners with specialist mechanical subcontractors under public procurement rules.
"Category 8 — Construction, EPC & Developers",Developer,Al Ahly Sabbour Developments,الأهلي صبور للتنمية العقارية,New Cairo / multiple communities\*,Large,"Continuous community construction and infrastructure — steel, MEP and civil subcontract packages plus long-tail maintenance works."
"Category 8 — Construction, EPC & Developers",Developer,Emaar Misr,إعمار مصر,"Marassi, Uptown Cairo, Mivida\*",Large,"Premium build quality with formal contractor pre-qualification; ongoing construction plus community-maintenance packages (waterproofing, MEP retrofits, steel canopies)."
"Category 8 — Construction, EPC & Developers",Developer,Hyde Park Developments,هايد بارك للتطوير العقاري,New Cairo & North Coast\*,Large,"Active construction pipeline; registers subcontractors for enabling, structural and MEP packages."
"Category 8 — Construction, EPC & Developers",Developer,Wadi Degla Developments,وادي دجلة للتطوير العقاري,New Cairo / Ain Sokhna (Blumar El Sokhna),Medium,Sokhna coastal projects need marine-environment civil/steel maintenance — plus club/community facilities with recurring MEP works.
"Category 8 — Construction, EPC & Developers",Developer,Misr Italia Properties,مصر إيطاليا العقارية,"New Capital (IL Bosco), Ain Sokhna (Kai Sokhna)\*",Large,Delivery-phase projects requiring finishing-stage MEP and steel subcontractors; Sokhna resort project fits UBC's geographic base.
"Category 8 — Construction, EPC & Developers",Developer,Ora Developers Egypt,أورا للتطوير العقاري (مصر),ZED Sheikh Zayed / ZED East\*,Large,High-spec construction with international-standard subcontractor pre-qualification; large MEP and structural steel packages.
"Category 8 — Construction, EPC & Developers",Industrial Parks,Polaris Parks (Industrial Development Group),بولاريس باركس,6th of October & 10th of Ramadan industrial parks,Medium,"Builds and operates industrial parks in both priority zones — factory shells, utility networks and tenant fit-out works are recurring; one registration reaches dozens of tenant factories too."
"Category 8 — Construction, EPC & Developers",State Developer,Heliopolis Company for Housing & Development,مصر الجديدة للإسكان والتعمير,Heliopolis / New Heliopolis\*,Large,"State land developer tendering infrastructure and building packages through public procurement — registration-driven, steady tender flow."
Category 9 — Hotels & Resorts,Hotel Group,Jaz Hotels Group (Travco),مجموعة جاز للفنادق (ترافكو),"Nationwide incl. Jaz Little Venice, Ain Sokhna",Large,"50+ properties on rolling renovation cycles — central technical office pre-qualifies contractors for waterproofing, MEP retrofits and structural repairs."
Category 9 — Hotels & Resorts,Hotel Group,Pickalbatros Hotels & Resorts,بيك ألباتروس للفنادق والمنتجعات,Hurghada / Red Sea\*,Large,Egypt's largest resort operator by rooms; continuous refurbishment and expansion with an in-house projects department that contracts execution packages.
Category 9 — Hotels & Resorts,Hotel Group,Sunrise Resorts & Cruises,صن رايز ريزورتس آند كروزس,Red Sea & North Coast\*,Large,Multi-property renovation programs plus Nile/marine assets needing steel and mechanical works.
Category 9 — Hotels & Resorts,Destination Developer,Orascom Development Egypt,أوراسكوم للتنمية – مصر,"El Gouna, Taba Heights, O West\*",Large,"Operates whole destinations (hotels + town infrastructure) — recurring civil, utility-network and marine maintenance procured through a central development office."
