Category,Company,Official Website,Published Emails (labeled),Vendor Portal / Registration,Email Pattern (per source),Source URLs
"8 - Construction, EPC & Developers",The Arab Contractors,www.arabcont.com,info@arabcont.com (HQ general); accairo@arabcont.com (Cairo branch); acnasr@arabcont.com (Nasr City branch),none found,first.last@arabcont.com (RocketReach),https://www.arabcont.com/english/EgyptOffices.aspx ; https://rocketreach.co/the-arab-contractors-email-format_b5c5e5b4f42e0ea5
"8 - Construction, EPC & Developers",ENPPI,www.enppi.com,"gmail@enppi.com (general, per Egypt Yellow Pages)",https://enppisuppliers.enppi.com/supplier_registration/ (official supplier registration portal),First.Last@enppi.com (RocketReach/LeadIQ),https://enppisuppliers.enppi.com/supplier_registration/ ; https://yellowpages.com.eg/en/profile/enppi/3573
"8 - Construction, EPC & Developers",Samcrete Engineers & Contractors,www.samcrete.com,info@samcrete.com (general); marketing@samcrete.com (marketing),none found,none found,https://samcrete.com/contact ; https://www.zoominfo.com/pic/samcrete/141689137
"8 - Construction, EPC & Developers",CSCEC Egypt,english.cscec.com,"cscecegyptpublic@gmail.com (Egypt public/general); baiyb@cscec.com (CSCEC Steel Egypt, New Cairo)",Middle East suppliers page https://www.cscec.ae/contact-suppliers/,first_last@cscec.com (RocketReach),https://rocketreach.co/cscec-egypt-email-format_b6a46feac878b63b ; https://www.cscec.ae/contact-suppliers/
"8 - Construction, EPC & Developers",Gama Construction,gama.com.eg,Info-gama@gama.com.eg (general),none found,none found,https://gama.com.eg/contact-us/ ; https://madeinegyptgate.com/factories/gama-construction/
"8 - Construction, EPC & Developers",Concord for Engineering & Contracting,www.concord-ec.com,Info@concord-ecc.com (general),none found,none found,https://www.concord-ec.com/experience/ ; https://yellowpages.com.eg/en/profile/concord-for-engineering-&-contracting/7281
"8 - Construction, EPC & Developers",Mokhtar Ibrahim Contracting,www.moukhtar.com,"contact@moukhtar.com (general, per EgyptYello)",none found,none found,https://www.moukhtar.com/site/en/about/contact.asp ; https://www.egyptyello.com/company/414488/EGYPTIAN_CONTRACTING_CO_MOUKHTAR_IBRAHIM
"8 - Construction, EPC & Developers",Al Ahly Sabbour Developments,alahlysabbour.com,"info@alahly.com (general, corporate site)",none found,none found,https://alahlysabbour.com/en/contact-us ; https://www.alahly.com/en/about-us
"8 - Construction, EPC & Developers",Emaar Misr,www.emaarmisr.com,TenderingSupport@emaarinfo.com (eTendering/procurement helpdesk); hotline 16116,https://tendering.emaar.ae/web_emaarmisr/web/vendor-help-guides.html (Emaar Misr eTendering Portal); https://www.emaar.com/en/supplier-registration,johndoe@emaar.com (Prospeo); jdoe@emaar.ae (RocketReach),https://tendering.emaar.ae/web_emaarmisr/web/vendor-help-guides.html ; https://www.emaarmisr.com/contact-us/
"8 - Construction, EPC & Developers",Hyde Park Developments,www.hydeparkdevelopments.com,info@hpd.com.eg (general); phone +20 16696,none found,none found,https://www.hydeparkdevelopments.com/ ; https://hotlines.tel/en/sps/1228
"8 - Construction, EPC & Developers",Wadi Degla Developments,wadidegladevelopments.com,none found (phone +20 2 24134514),none found,"First.Last@wadidegla.com (LeadIQ, 99%)",https://wadidegladevelopments.com/contact-us/ ; https://leadiq.com/c/wadi-degla-developments/5f44ec07a0cf8ca20ba59fb4/email-format
"8 - Construction, EPC & Developers",Misr Italia Properties,www.misritaliaproperties.com,none found (hotline 19839; contact form),none found,First.Last@misritaliaproperties.com (LeadIQ),https://www.misritaliaproperties.com/contact-us ; https://leadiq.com/c/misr-italia-properties/5a1d89012400002400628ea2/email-format
