Category,Company,To,Subject,Body,Status
1,MIDOR,info@midor.com.eg,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Procurement & Tendering Department, MIDOR,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on MIDOR's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We routinely prefabricate piping spools ahead of shutdown windows to reduce on-site hot work during compressed turnaround schedules at the Amreya refinery.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
1,Alexandria Petroleum Company,chairman@alx-pc.com,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Chairman's Office, Alexandria Petroleum Company,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on Alexandria Petroleum Company's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We specialize in the rehabilitation of aged civil structures, tank foundations, pipe racks and firewater networks alongside live refinery operations at El Max.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
1,ANRPC,anrpccompany@yahoo.com,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Procurement & Tendering Department, ANRPC,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on ANRPC's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We are experienced in executing tie-ins and hot-work scopes inside live units under permit-to-work systems on tight brownfield sites.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
1,AMOC,emarketing@amoceg.com,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Procurement & Tendering Department, AMOC,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on AMOC's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We regularly execute tank-farm maintenance and structural-steel repair/replacement scopes, including blasting and painting in coastal environments.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
1,Suez Oil Processing Company,SOPC_ECEPP@suezprocessing.com,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Procurement Department, Suez Oil Processing Company,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on Suez Oil Processing Company's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We are well suited to heavy civil demolition/reconstruction and piping re-routing packages executed alongside live operations, and are prepared to participate in your tenders published through the EBRD ECEPP platform.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
1,GASCO,info@gasco.com.eg,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Procurement & Tendering Department, GASCO,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on GASCO's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We follow your tenders page and would appreciate receiving the bidder registration forms for mechanical and civil works categories.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
1,Egyptian Refining Company,info@ercegypt.com,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Procurement & Contracts Department, Egyptian Refining Company,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on Egyptian Refining Company's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We field ASME-compliant piping crews at scale and maintain the documented HSE and QA/QC systems your pre-qualification requires.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
1,Cairo Oil Refining Company,info@corc.com.eg; projects@corc.com.eg,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Procurement & Projects Departments, Cairo Oil Refining Company,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on Cairo Oil Refining Company's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We handle both aged-asset civil rehabilitation and new-unit steel/piping erection, allowing one contractor to serve maintenance and capex scopes at Mostorod.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
2,SIDPEC,info@sidpec.com,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Procurement & Tendering Department, SIDPEC,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on SIDPEC's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We prefabricate large-bore piping ahead of shutdown windows and execute furnace-area structural work under tight turnaround schedules at the Amreya complex.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
2,Egyptian Petrochemicals Company,epc@egy-petrochem.com,"Vendor Registration Request — Industrial Civil Works, Steel Fabrication & Piping — United Brothers Co.","Dear Sirs — Procurement & Tendering Department, Egyptian Petrochemicals Company,

United Brothers Co. is an Egyptian industrial contractor specialized in:
- Industrial civil works and rapid civil maintenance inside operating plants
- Steel structure fabrication and erection, with full material traceability and QA/QC dossiers
- Piping prefabrication, erection and shutdown/turnaround support (certified welders; WPS/PQR available)
- Mechanical equipment installation

Our clients include multinational producers in the power, building materials and chemical sectors in Egypt; reference letters are available upon request.

We kindly request the registration of United Brothers Co. on Egyptian Petrochemicals Company's approved vendor/contractor list so we can be considered in upcoming maintenance and project tenders. We have strong experience replacing corrosion-damaged structural steel and piping and rehabilitating acid-attacked concrete in chlor-alkali environments.

Could you kindly share your vendor registration procedure or pre-qualification form, and confirm the correct email address of the responsible department? Our commercial registration, tax card, HSE/QA documentation and full capability statement are ready to submit.

Respectfully,
[Name] — Vendor Relations
United Brothers Co. — Industrial Civil Works | Steel Fabrication | Piping | Mechanical Installations
Email: contact.ubcsis@gmail.com | Mobile/WhatsApp: [add number]",DRAFT IN GMAIL (Martina Adel format)
