Sector,Company Name (English),Company Name (Arabic),Primary Factory/Plant Location,Est. Plant Scale,Specific Mechanical/Civil Pain Point (Why United Brothers fits)
Sugar Refining,United Sugar Company of Egypt (Savola Foods),شركة السكر المتحدة – سافولا,Ain Sokhna,Large,"Port-side sugar refinery: raw-sugar conveyor galleries, silo structures and jetty-linked steelwork in a corrosive marine atmosphere — recurring structural repair and civil maintenance packages."
Snacks / Beverages,PepsiCo Egypt (Chipsy for Food Industries),شيبسي للصناعات الغذائية (بيبسيكو مصر),6th of October & 10th of Ramadan,Large,"Multiple plants under continuous line expansion — steel mezzanines, utility piping (steam, compressed air), fryer-area civil upgrades, and warehouse extensions executed without stopping production."
Food Processing,Nestlé Egypt,نستله مصر,10th of Ramadan / 6th of October,Large,"Global-standard contractor pre-qualification (Safety-first AVL); recurring demand for utility piping, ammonia refrigeration support structures and in-plant civil works during short annual maintenance windows."
Confectionery / Biscuits,Mondelez Egypt (Cadbury / Bim Bim),موندليز مصر (كادبوري / بم بم),"10th of Ramadan & Borg El Arab, Alexandria",Large,"Two manufacturing sites with frequent line relocations and building refurbishments — needs a documented, HSE-compliant contractor for steel platforms, drainage civil works and roofing/cladding repairs."
Bakery / Snacks,Edita Food Industries,إيديتا للصناعات الغذائية,6th of October (+ Beni Suef),Large,"Aggressive capacity-addition program (new lines nearly every year): steel structures for new lines, steam/condensate piping, flour-silo foundations and warehouse civil expansions."
Dairy / Juice,Juhayna Food Industries,جهينة للصناعات الغذائية,6th of October City (multiple plants),Large,"Cluster of dairy/juice plants: cold-store civil works, insulated-panel support steel, boiler-house piping and wastewater-treatment civil upgrades — year-round small/mid packages ideal for framework agreements."
Dairy / Cheese,Arabian Food Industries (Domty),الشركة العربية للصناعات الغذائية (دومتي),6th of October City,Large,"Expansion into new categories (juice, bakery) drives repeated building modifications, utility piping re-routing and structural steel additions inside a live food-safety environment."
Frozen Foods,Farm Frites Egypt,فارم فرايتس مصر,10th of Ramadan City,Large,"Frozen-potato processing: large ammonia refrigeration plant and cold stores — support structures, pipe bridges, drainage and hygienic civil flooring rehab under strict food-safety shutdown windows."
Confectionery,Halwani Brothers Egypt,حلواني إخوان,10th of Ramadan City,Medium,"Halva/tahini and meat lines with steam-intensive processing — boiler piping, tank farms for oils/syrups, and phased factory-building rehabilitation."
Pasta / Foods,Regina Pasta & Food Industries,ريجينا للمكرونة والصناعات الغذائية,10th of Ramadan City,Medium,"Milling and pasta lines: silo foundations, bucket-elevator/conveyor steel structures and dust-controlled civil works — mid-size scopes suited to an agile local contractor."
Juice / Food Group,Faragalla Group,مجموعة فرج الله للصناعات الغذائية,"Borg El Arab, Alexandria",Large,"One of Egypt's largest food complexes (20+ factories on one campus): constant inter-plant utility piping, steel sheds, and civil infrastructure works — a single AVL registration unlocks a whole campus of demand."
Edible Oils / Soap,Alexandria Oil & Soap Company,شركة الإسكندرية للزيوت والصابون,Alexandria,Medium,"Aged state-owned refinery under rehabilitation: edible-oil tank farms, steam distribution piping and structural repair of legacy buildings — steady tender flow via public procurement."
Starch / Yeast,Egyptian Starch & Yeast Company,شركة النشا والخميرة المصرية,Alexandria,Medium,"Legacy Alexandria plant with corrosion-prone wet-process areas — recurring replacement of steel supports, piping and industrial-drainage civil rehabilitation."
Sauces / Processed Food,Kraft Heinz Egypt,كرافت هاينز مصر,6th of October City,Large,"Multinational AVL gateway: steam/utility piping, tomato-paste seasonal pre-campaign maintenance, and hygienic civil works (flooring, drainage) inside HACCP-controlled areas."
Cereals,Mass Food Group (Kellogg's),ماس فوود جروب (تيميز – كيلوجز),6th of October City,Medium,"Cereal extrusion/toasting lines under Kellogg's compliance standards — steel platforms, utility piping and warehouse civil expansion delivered with documented QA/HSE."
Steel,Ezz Steel,حديد عز,"Ain Sokhna, Suez & 10th of Ramadan",Large,"Egypt's largest steelmaker (EAF + rolling mills across three priority-zone sites): furnace-area structural steel, dedusting duct fabrication, crane-rail/girder repairs and heavy machine foundations — continuous maintenance-contractor demand."
Steel,Suez Steel (Solb Misr),شركة السويس للصلب (صلب مصر),"Ataqa, Suez",Large,"Integrated DRI/EAF complex: refractory-adjacent steelwork, water-treatment civil works, conveyor galleries and mill-line mechanical maintenance in a high-temperature environment."
Steel,Egyptian Steel Group,حديد المصريين,Ain Sokhna & Beni Suef,Large,"Modern EAF plants on tight maintenance windows — melt-shop structural repairs, fume-extraction ducting and heavy equipment foundations; formal vendor pre-qualification process."
Steel,Misr National Steel (Ataqa),مصر الوطنية للصلب – عتاقة,"Ataqa, Suez",Medium,"Rebar mills with rolling-line maintenance and scrap-yard civil infrastructure — pragmatic buyer that values fast-mobilizing local fabricators over tier-1 pricing."
Steel,Beshay Steel,بشاي للصلب,Sadat City*,Large,"One of the largest private DRI/steel complexes in the region: continuous demand for structural repairs, material-handling steel and mechanical erection during planned mill stops."
Cables / Electrical,Elsewedy Electric,السويدي إليكتريك,10th of Ramadan City (multi-plant campus),Large,"Expanding cable/transformer/meter factories: new production-hall steel structures, cable-tray bridges, utility piping and heavy machine foundations — a multi-factory campus behind a single AVL."
Electrical Equipment,ABB Egypt,إيه بي بي مصر,10th of Ramadan City,Medium,"Switchgear/transformer manufacturing under global contractor-safety standards — recurring facility upgrades, test-bay civil works and steel mezzanines for documented, pre-qualified vendors."
Home Appliances,Fresh Electric for Home Appliances,فريش إلكتريك,10th of Ramadan City,Large,"Sprawling multi-factory site with continuous line additions — steel sheds, paint-shop piping and utilities, plus warehouse civil expansions on fast timelines."
Home Appliances,Electrolux Egypt (Olympic),إلكترولوكس مصر (أوليمبيك),10th of Ramadan City,Large,"Legacy Olympic facilities being modernized to Electrolux global standards — phased civil rehabilitation, structural reinforcement and utility re-piping alongside running assembly lines."
Home Appliances,Universal Group,مجموعة يونيفرسال,6th of October City,Medium,"Large appliance complex with aging infrastructure — roof/cladding replacement, structural repairs and utility piping rehab procured through cost-competitive local tenders."
Appliances / Electronics,El Araby Group,مجموعة العربي,"Quesna, Menoufia*",Large,"Egypt's biggest private industrial campus (16+ factories): permanent construction/expansion pipeline — steel structures, infrastructure civil works and utility networks for a buyer that formally registers contractors."
Non-ferrous Metals,Egyptian Copper Works,الشركة المصرية لأعمال النحاس,"Hagar El Nawatia, Alexandria",Medium,"Historic copper smelting/rolling plant under state rehabilitation programs — furnace-area steel, crane structures and civil restoration of legacy industrial buildings."
Shipbuilding / Heavy Steel,Alexandria Shipyard,ترسانة الإسكندرية,Alexandria,Large,"Overflow demand for certified steel fabrication, blasting/painting and heavy structural works during peak vessel programs — subcontracts to pre-registered fabrication workshops."
Automotive,MCV (Manufacturing Commercial Vehicles – Mercedes),شركة تصنيع وسائل النقل التجارية (إم سي في),"El Salheya, Sharkia*",Large,"Bus/truck plant expansions for export programs: new assembly-hall steel structures, paint-shop mechanical utilities and civil infrastructure — Daimler-standard vendor documentation required."
Automotive,GB Corp (GB Auto),جي بي كورب (غبور أوتو),Abu Rawash / Greater Cairo*,Large,"Assembly and tire/aftermarket facilities with periodic line retooling — steel platforms, equipment foundations and workshop civil upgrades under multinational partner audit standards."
